,dien_tich,phong_ngu,so_tang,lat,long,gia,gia_m2,ten_duong,ten_phuong,so_do2
2740,42.0,4.0,5.0,20.9959104,105.8576533,10800.0,257.1428571428572,60,6,0
2744,231.0,5.0,4.776731098605334,21.0042694,105.8459098,11000.0,44.0,14,0,0
2745,231.0,6.0,4.776731098605334,21.0133684,105.8491251,30000.0,75.0,56,5,1
2746,165.0,2.0,4.776731098605334,21.0168879,105.8503448,100000.0,606.060606060606,80,1,1
2747,95.0,4.801504451949647,4.776731098605334,21.0138567,105.8543244,51000.0,536.8421052631579,64,10,0
2748,231.0,4.801504451949647,4.776731098605334,21.0185059,105.856691,,,23,9,0
2749,90.0,9.0,5.0,20.9999773,105.8605893,15800.0,175.55555555555554,26,12,0
2751,231.0,4.801504451949647,4.776731098605334,21.0146013,105.8492911,179000.0,688.4615384615385,65,7,0
2753,200.0,4.801504451949647,5.0,21.0115971,105.8533051,49680.0,248.4,3,2,0
2754,166.0,4.801504451949647,6.0,21.0115971,105.8533051,38000.0,228.9156626506024,3,2,0
2755,5.0,4.801504451949647,4.776731098605334,21.0117469,105.8516541,44500.0,8900.0,24,10,0
2756,96.0,4.801504451949647,5.0,21.0033703,105.8493256,26500.0,276.0416666666667,14,4,1
2761,65.0,4.0,7.0,21.0088308,105.8632384,15000.0,230.7692307692308,84,13,1
2762,70.0,4.0,7.0,21.0194581,105.8456974,37000.0,462.5,65,7,0
2763,57.2,4.801504451949647,4.776731098605334,21.0138567,105.8543244,17500.0,305.94405594405595,64,8,0
2764,56.0,4.0,4.0,21.0164338,105.8503476,42000.0,750.0,80,1,0
2765,150.0,10.5,10.5,21.0194581,105.8456974,67000.0,446.6666666666667,65,7,1
2766,43.0,4.801504451949647,3.0,21.0081338,105.8462749,13900.0,323.2558139534884,96,5,1
2767,50.0,4.801504451949647,5.0,20.9959104,105.8576533,10800.0,216.0,60,6,1
2768,80.0,4.0,5.0,21.0180919,105.8553024,39000.0,487.5,23,9,1
2769,45.0,4.0,5.0,21.0134201,105.8610325,4300.0,95.55555555555556,63,3,1
2770,50.0,5.0,5.0,21.0107623,105.8457915,89000.0,157.8,56,5,1
2771,45.0,4.0,4.0,21.0003977,105.8697617,7450.0,165.55555555555554,20,16,1
2772,95.0,6.0,5.0,20.9982638,105.8673667,12000.0,126.3157894736842,93,16,1
2773,50.0,6.0,6.0,20.9997867,105.8626056,1000.0,182.0,93,16,1
2774,45.0,5.0,6.0,21.0081338,105.8462749,8500.0,188.88888888888889,96,5,1
2775,65.0,5.0,5.0,21.0118555,105.8651409,10000.0,153.84615384615384,42,3,1
2776,50.0,4.0,5.0,21.0088308,105.8632384,11000.0,220.0,84,13,1
2777,52.0,5.0,5.0,21.0115168,105.8533481,4000.0,161.53846153846155,12,10,1
2778,50.0,4.0,5.0,21.0017328,105.8518211,5200.0,104.0,3,2,0
2779,50.0,4.0,5.0,21.0004215,105.850545,2000.0,104.0,3,2,1
2780,62.0,4.0,5.0,21.0132507,105.8657274,3000.0,166.1290322580645,42,3,1
2781,50.0,8.0,6.0,21.0020197,105.8666651,3000.0,166.0,20,16,1
2782,50.0,4.0,5.0,20.9943831,105.8626999,12000.0,240.0,93,16,1
2783,65.0,6.0,5.0,20.996539,105.8427895,16000.0,246.15384615384616,25,19,1
2784,50.0,4.0,5.0,21.0053964,105.8569193,5200.0,104.0,78,14,1
2785,50.0,8.0,6.0,21.0029863,105.865675,8300.0,166.0,18,16,1
2786,30.0,3.0,4.0,21.0053964,105.8569193,7500.0,250.0,78,14,1
2787,112.0,10.5,5.0,21.0004203,105.8535447,15000.0,133.92857142857142,3,2,1
2788,98.0,6.0,5.0,20.9982638,105.8673667,13000.0,132.6530612244898,93,16,1
2789,85.0,6.0,5.0,21.0029863,105.865675,8700.0,102.3529411764706,18,16,1
2790,231.0,4.801504451949647,4.776731098605334,21.0153638,105.8495785,110000.0,392.8571428571428,41,1,1
2791,231.0,4.801504451949647,4.776731098605334,21.0170158,105.8507508,110000.0,385.96491228070175,85,1,1
2792,231.0,4.801504451949647,4.776731098605334,21.0151263,105.8509152,110000.0,392.8571428571428,41,1,1
2793,231.0,4.801504451949647,4.776731098605334,21.0186112,105.8499795,110000.0,385.96491228070175,41,1,1
2794,231.0,4.801504451949647,4.776731098605334,21.0136601,105.8499624,110000.0,392.8571428571428,89,1,1
2795,231.0,4.801504451949647,4.776731098605334,21.0184816,105.849405,110000.0,392.8571428571428,41,1,1
2796,65.0,1.0,1.0,20.9959104,105.8576533,24000.0,369.2307692307692,60,6,1
2797,75.0,5.0,5.0,20.9951266,105.8561803,0.006,8e-05,20,6,1
2798,80.0,8.0,5.0,21.0053964,105.8569193,7000.0,87.5,78,14,1
2799,190.0,9.0,9.0,21.0170575,105.8528472,80000.0,421.05263157894734,29,1,1
2800,190.0,9.0,9.0,21.0170575,105.8528472,80000.0,421.05263157894734,29,1,1
2801,50.0,8.0,5.0,20.9984853,105.8686635,10000.0,200.0,93,16,1
2802,231.0,5.0,4.0,20.9959104,105.8576533,16000.0,41.23711340206186,60,6,1
2803,200.0,10.0,10.0,21.0178247,105.8537386,80000.0,400.0,23,9,1
2804,231.0,4.801504451949647,4.776731098605334,21.0150152,105.8504667,160000.0,672.2689075630252,80,1,0
2805,195.0,4.801504451949647,4.776731098605334,21.0135234,105.851064,60000.0,307.6923076923077,56,5,0
2806,50.0,6.0,6.0,21.008903,105.858755,10500.0,210.0,84,18,0
2807,90.0,3.0,2.0,20.9995814,105.8454528,17900.0,198.88888888888889,30,19,0
2808,40.0,1.0,1.0,20.9967604,105.8432719,11400.0,285.0,38,19,1
2809,53.0,4.801504451949647,5.0,21.0004215,105.850545,4250.0,80.18867924528301,3,2,0
2810,90.0,2.0,1.0,21.003713,105.8513296,15000.0,166.66666666666666,78,14,1
2811,40.0,5.0,4.0,20.9977453,105.8547749,224000.0,5600.0,49,12,1
2812,231.0,10.5,10.5,21.0171077,105.8574331,520000.0,928.5714285714286,23,9,0
2813,106.0,4.801504451949647,4.776731098605334,21.0136601,105.8499624,60000.0,566.0377358490566,41,1,0
2814,172.0,8.0,8.0,21.0064511,105.8512692,53000.0,308.13953488372096,3,2,0
2815,70.0,2.0,1.0,20.9999773,105.8605893,3900.0,55.71428571428572,26,12,1
2816,45.0,6.0,6.0,21.0180851,105.8552965,10500.0,233.33333333333331,16,17,1
2817,45.0,3.0,3.0,20.9985487,105.8457432,8300.0,184.44444444444449,30,15,1
2818,90.0,4.0,4.0,20.9959004,105.8469415,19000.0,211.11111111111111,81,15,1
2819,30.0,5.0,5.0,21.0186112,105.8499795,19500.0,650.0,41,1,1
2820,45.0,4.0,4.0,20.9965725,105.8427916,7500.0,166.66666666666666,25,19,1
2821,20.0,2.0,5.0,20.998923,105.8532232,4400.0,220.0,11,2,1
2822,70.0,3.0,3.0,20.9981979,105.8673067,16000.0,228.57142857142856,60,6,1
2823,101.0,3.0,3.0,21.0132507,105.8657274,13000.0,128.7128712871287,42,3,1
2824,35.0,3.0,3.0,21.0004203,105.8535447,8500.0,242.8571428571429,75,11,1
2825,105.0,6.0,5.0,20.992963,105.86297,9800.0,93.33333333333331,81,15,1
2826,90.0,6.0,5.0,21.0017328,105.8518211,18000.0,200.0,3,2,1
2827,45.0,3.0,5.0,21.0010583,105.8585235,9500.0,211.11111111111111,26,12,1
2828,90.0,4.0,4.0,21.0053964,105.8569193,26000.0,288.8888888888889,78,14,1
2829,50.0,5.0,5.0,21.0029863,105.865675,8000.0,160.0,77,13,1
2830,50.0,4.801504451949647,4.776731098605334,21.0004215,105.850545,5600.0,112.0,3,2,0
2831,41.0,3.0,5.0,21.0150152,105.8504667,23000.0,560.9756097560976,80,1,1
2832,75.0,3.0,3.0,21.0026976,105.8611996,22600.0,301.3333333333333,78,14,1
