,dien_tich,phong_ngu,so_tang,mat_tien,noi_that,huong_nha,so_do,lat,long,gia,gia_m2,id_duong,ten_duong,do_rong_duong,id_phuong,ten_phuong
4955,24.0,3.0,5.0,,,,Sổ hồng/ Sổ đỏ,21.018213,105.8413803,6500.0,270.8333333333333,5e958eea208d0d6d7648fe00,Đường Nguyễn Du,,5e5501cbeb80a7245175e134,Phường Nguyễn Du
4956,50.0,4.0,4.0,,,,Sổ hồng/ Sổ đỏ,21.0075992,105.8545268,9800.0,196.0,5e958eea208d0d6d7648fe2d,Đường Võ Thị Sáu,,5e5501cbeb80a7245175e13e,Phường Thanh Nhàn
4957,231.0,4.801504451949647,4.776731098605334,,,,,21.0017328,105.8518211,114000.0,228.0,5e958eea208d0d6d7648fe31,Phố Bạch Mai,,5e5501cbeb80a7245175e143,Phường Bạch Mai
4958,220.0,4.801504451949647,4.776731098605334,,,,,21.0194192,105.8526764,111000.0,504.54545454545456,5e958eea208d0d6d7648fe39,Phố Hàm Long,,5e5501cbeb80a7245175e138,Phường Ngô Thì Nhậm
4959,60.0,4.801504451949647,3.0,,,,Sổ hồng/ Sổ đỏ,21.0008143,105.8517814,6000.0,100.0,5e958eea208d0d6d7648fe31,Phố Bạch Mai,4.0,5e5501cbeb80a7245175e13e,Phường Thanh Nhàn
4960,100.0,4.801504451949647,4.0,,,,Sổ hồng/ Sổ đỏ,21.0023036,105.8489024,19000.0,190.0,5e958eea208d0d6d7648fe52,Phố Tạ Quang Bửu,6.0,5e5501cbeb80a7245175e140,Phường Bách Khoa
4961,50.0,4.801504451949647,6.0,,,,Sổ hồng/ Sổ đỏ,21.002883,105.8596364,7350.0,147.0,5e958eea208d0d6d7648fe19,Đường Thanh Nhàn,4.0,5e5501cbeb80a7245175e13e,Phường Thanh Nhàn
4962,60.0,4.801504451949647,2.0,,,,Sổ hồng/ Sổ đỏ,20.9965284,105.8624341,3600.0,60.0,5e958eea208d0d6d7648fdf0,Đường Kim Ngưu,4.0,5e5501cbeb80a7245175e13d,Phường Thanh Lương
4963,70.0,4.801504451949647,4.0,,,,Sổ hồng/ Sổ đỏ,20.9972657,105.8427448,9900.0,141.42857142857142,5e958eea208d0d6d7648fe4e,Phố Phố Vọng,8.0,5e5501cbeb80a7245175e141,Phường Đồng Tâm
4964,60.0,4.801504451949647,4.0,,,,Sổ hồng/ Sổ đỏ,20.991418,105.8444462,6700.0,111.66666666666669,5e958eea208d0d6d7648fdfc,Đường Nguyễn An Ninh,3.0,5e5501cbeb80a7245175e147,Phường Trương Định
4965,100.0,4.801504451949647,4.0,,,,Sổ hồng/ Sổ đỏ,21.0007407,105.8540113,11000.0,110.0,5e958eea208d0d6d7648fe32,Phố Bùi Ngọc Dương,8.0,5e5501cbeb80a7245175e13e,Phường Thanh Nhàn
4966,48.0,4.801504451949647,4.776731098605334,,,,,21.0081097,105.8460405,4960.0,103.33333333333331,5e958eea208d0d6d7648fde1,Đường Đại Cồ Việt,,5e5501cbeb80a7245175e140,Phường Bách Khoa
4967,38.0,4.801504451949647,4.776731098605334,,,,,20.9967604,105.8432719,3960.0,104.21052631578948,5e958eea208d0d6d7648fe44,Phố Lê Thanh Nghị,,5e5501cbeb80a7245175e141,Phường Đồng Tâm
4968,60.0,5.0,5.0,,,,Sổ hồng/ Sổ đỏ,21.0017778,105.8590754,7900.0,131.66666666666666,5e958eea208d0d6d7648fe51,Phố Quỳnh Mai,,5e5501cbeb80a7245175e144,Phường Quỳnh Mai
4969,52.0,5.0,6.0,,,,Sổ hồng/ Sổ đỏ,21.0017328,105.8518211,8200.0,157.69230769230768,5e958eea208d0d6d7648fe31,Phố Bạch Mai,,5e5501cbeb80a7245175e143,Phường Bạch Mai
4970,59.0,5.0,5.0,,,,Sổ hồng/ Sổ đỏ,21.0017059,105.8460708,8100.0,137.28813559322035,5e958eea208d0d6d7648fe44,Phố Lê Thanh Nghị,,5e5501cbeb80a7245175e140,Phường Bách Khoa
4971,46.0,4.801504451949647,4.776731098605334,,,,,21.0075992,105.8545268,4210.0,91.52173913043478,5e958eea208d0d6d7648fe2d,Đường Võ Thị Sáu,,5e5501cbeb80a7245175e13e,Phường Thanh Nhàn
4972,45.0,1.0,1.0,,,,Sổ hồng/ Sổ đỏ,20.9967604,105.8432719,4200.0,93.33333333333331,5e958eea208d0d6d7648fe36,Phố Đại La,,5e5501cbeb80a7245175e141,Phường Đồng Tâm
4973,51.0,4.0,4.0,,,,Sổ hồng/ Sổ đỏ,20.99673,105.8566669,4500.0,88.23529411764706,5e958eea208d0d6d7648fdf9,Đường Minh Khai,,5e5501cbeb80a7245175e146,Phường Minh Khai
4974,56.0,4.0,6.0,,,,Sổ hồng/ Sổ đỏ,21.0029863,105.865675,6500.0,116.07142857142856,5e958eea208d0d6d7648fe18,Đường Thanh Lương,,5e5501cbeb80a7245175e13d,Phường Thanh Lương
4975,25.0,3.0,4.776731098605334,,,,Sổ đỏ,21.0117091,105.8545132,7800.0,312.0,,,,5e5501cbeb80a7245175e13a,Phường Đồng Nhân
4976,231.0,10.5,10.5,16.0,"Sang trọng, hiện đại, đáp ứng mọi nhu cầu sinh hoạt",,Sổ đỏ,21.0185059,105.856691,520000.0,938.6281588447654,5e958eea208d0d6d7648fe4c,Phố Phạm Đình Hổ,,5e5501cbeb80a7245175e136,Phường Phạm Đình Hổ
4977,70.0,6.0,5.0,9.0,,,Sổ đỏ chính chủ,21.0078788,105.8577373,25500.0,364.2857142857143,5e958eea208d0d6d7648fdf1,Đường Lạc Nghiệp,,5e5501cbeb80a7245175e13e,Phường Thanh Nhàn
4978,50.0,5.0,4.776731098605334,,,,Sổ đỏ,21.0042694,105.8459098,18500.0,370.0,,,,5e5501cbeb80a7245175e140,Phường Bách Khoa
4979,75.0,4.801504451949647,4.0,18.0,,,,21.0078788,105.8577373,26400.0,352.0,5e958eea208d0d6d7648fdf1,Đường Lạc Nghiệp,,5e5501cbeb80a7245175e13e,Phường Thanh Nhàn
4980,81.6,10.0,4.0,5.68,,Đông-Nam,Sổ đỏ chính chủ.,21.006498,105.8455938,12000.0,147.05882352941177,5e958eea208d0d6d7648fe58,Phố Trần Đại Nghĩa,,5e5501cbeb80a7245175e140,Phường Bách Khoa
4981,70.0,4.801504451949647,5.0,9.0,,KXĐ,,21.0115971,105.8533051,25500.0,364.2857142857143,5e958eea208d0d6d7648fdf1,Đường Lạc Nghiệp,12.0,5e5501cbeb80a7245175e13e,Phường Thanh Nhàn
4982,98.0,4.801504451949647,4.776731098605334,,,,,20.9970859,105.84487,18500.0,188.77551020408163,5e958eea208d0d6d7648fe36,Phố Đại La,,5e5501cbeb80a7245175e141,Phường Đồng Tâm
4983,231.0,4.801504451949647,10.5,20.0,Sang trọng,,Sổ đỏ chính chủ,21.0169506,105.8540824,500000.0,833.3333333333334,5e958eea208d0d6d7648fe59,Phố Trần Xuân Soạn,,5e5501cbeb80a7245175e138,Phường Ngô Thì Nhậm
4984,28.0,4.801504451949647,3.0,3.0,,,Sổ đỏ.,21.0081338,105.8462749,,,5e958eea208d0d6d7648fde1,Đường Đại Cồ Việt,,,
4985,59.0,3.0,3.0,5.2,,Đông,,21.0088774,105.8659919,8290.0,140.5084745762712,5e958eea208d0d6d7648fdd8,Đường Bạch Đằng,,5e5501cbeb80a7245175e135,Phường Bạch Đằng
4986,86.0,4.801504451949647,4.776731098605334,4.65,,,,21.0022207,105.8508119,27000.0,313.95348837209303,5e958eea208d0d6d7648fe31,Phố Bạch Mai,,5e5501cbeb80a7245175e143,Phường Bạch Mai
4987,230.0,4.801504451949647,8.0,,,KXĐ,,21.0146013,105.8492911,96000.0,1200.0,5e958eea208d0d6d7648fe30,Phố Bà Triệu,,,
4988,50.0,4.0,4.776731098605334,,,,Sổ đỏ,21.0109796,105.8628205,12500.0,250.0,,,,5e5501cbeb80a7245175e135,Phường Bạch Đằng
4989,231.0,9.0,4.776731098605334,,,,Sổ đỏ,21.0168656,105.8535492,70000.0,43.75,,,,5e5501cbeb80a7245175e13c,Phường Đống Mác
4990,55.0,7.0,4.776731098605334,,,,Sổ đỏ,20.9988954,105.8532977,8000.0,145.45454545454547,,,,5e5501cbeb80a7245175e143,Phường Bạch Mai
4991,40.0,2.0,4.776731098605334,,,,Sổ đỏ,21.0088308,105.8632384,11000.0,275.0,,,,5e5501cbeb80a7245175e13d,Phường Thanh Lương
4992,220.0,10.5,10.0,8.0,"Nội Thất Châu Âu, sang trọng và đẳng cấp.",,,21.0178836,105.8540972,150000.0,681.8181818181819,5e958eea208d0d6d7648fdfb,Đường Ngô Thì Nhậm,,5e5501cbeb80a7245175e138,Phường Ngô Thì Nhậm
4993,48.0,4.0,6.0,4.0,"Toàn bộ cửa và cầu thang gỗ Lim. Gạch nhập ấn Độ. TBVS: Bàn đá, sen cây, vách kính tắm, bình nóng lạnh, bệt liền Toto nhập chính hãng. Bộ tủ bếp tự nhiên xoan đào Lào cao cấp",,SĐCC,20.9963826,105.8619728,10700.0,222.91666666666663,5e958eea208d0d6d7648fdf9,Đường Minh Khai,,5e5501cbeb80a7245175e146,Phường Minh Khai
4994,231.0,10.0,10.0,14.0,,,,21.015125,105.8503804,255000.0,584.8623853211009,5e958eea208d0d6d7648fe24,Đường Triệu Việt Vương,,5e5501cbeb80a7245175e134,Phường Nguyễn Du
4995,52.0,4.801504451949647,4.776731098605334,,,,,21.0053964,105.8569193,18200.0,350.0,5e958eea208d0d6d7648fe19,Đường Thanh Nhàn,,5e5501cbeb80a7245175e13e,Phường Thanh Nhàn
4996,200.0,10.5,10.0,8.0,,,Sổ đỏ vuông vắn.,21.0169506,105.8540824,,,5e958eea208d0d6d7648fe59,Phố Trần Xuân Soạn,,5e5501cbeb80a7245175e138,Phường Ngô Thì Nhậm
4997,81.0,3.0,7.0,4.0,"Đẳng cấp, sang trọng.",,"Sổ đẹp, pháp lý sạch sẽ rõ ràng, giao dịch ngay.",20.996536,105.862438,28000.0,345.679012345679,5e958eea208d0d6d7648fdf0,Đường Kim Ngưu,,5e5501cbeb80a7245175e13c,Phường Đống Mác
4998,149.0,4.801504451949647,4.776731098605334,,,,,21.0123071,105.8451758,82000.0,550.3355704697987,5e958eea208d0d6d7648fdf4,Đường Lê Đại Hành,,5e5501cbeb80a7245175e139,Phường Lê Đại Hành
4999,25.0,4.801504451949647,4.0,3.2,,,Sổ đỏ chính chủ.,21.0133684,105.8491251,12500.0,500.0,5e958eea208d0d6d7648fe15,Đường Tô Hiến Thành,,5e5501cbeb80a7245175e139,Phường Lê Đại Hành
5000,101.0,5.0,6.0,5.22,cơ bản,,,20.9985168,105.8454108,13800.0,136.63366336633663,5e958eea208d0d6d7648fe58,Phố Trần Đại Nghĩa,,5e5501cbeb80a7245175e141,Phường Đồng Tâm
5001,158.0,4.801504451949647,4.776731098605334,,,,,21.0180919,105.8553024,27300.0,172.78481012658227,5e958eea208d0d6d7648fe4c,Phố Phạm Đình Hổ,,5e5501cbeb80a7245175e136,Phường Phạm Đình Hổ
